Cluster,SSE
1,133236344.4
2,60700722.59
3,40800461.9
4,33568533.45
5,27629460.9
6,22355859.74
7,20294269.97
8,18498902.2
9,16920753
10,15569578.46
11,14486677.55
12,13522906.19
13,12634902.07
14,11915816.76
15,11349930.01
16,10727188.19
17,10160518.01
18,9638018.97
19,9308533.49
20,8772571.33
21,8464138.71
22,8159844.51
23,7826855.52
24,7548346.53
25,7251149.63
26,6897381.14
27,6649723.6
28,6384806.44
29,6148678.89
30,6049081.97
31,5726244.05
32,5490250.9
33,5266335.65
34,5023825.52
35,4935840.1
36,4790803.42
37,4668537.49
38,4503275.46
39,4355654.12
40,4279691.42
